role,experience_years
Producer,10-20
Exhibitor,5-10
Marketing/PR,>20
Director,10-20
Exhibitor,10-20
Producer,5-10
Marketing/PR,10-20
Trade Analyst,10-20
Producer,5-10
Exhibitor,>20
Distributor,5-10
Distributor,10-20
Exhibitor,5-10
OTT Acquisition Head,10-20
Distributor,10-20
Director,>20
OTT Acquisition Head,<5
Music Label Exec,>20
Producer,10-20
Distributor,5-10
Producer,5-10
Marketing/PR,5-10
Distributor,>20
OTT Acquisition Head,5-10
Director,10-20
OTT Acquisition Head,10-20
Trade Analyst,>20
Distributor,10-20
OTT Acquisition Head,10-20
Exhibitor,5-10
OTT Acquisition Head,>20
OTT Acquisition Head,5-10
Director,5-10
Producer,>20
Exhibitor,5-10
Music Label Exec,5-10
Music Label Exec,10-20
Music Label Exec,5-10
OTT Acquisition Head,5-10
Director,10-20
Distributor,10-20
Trade Analyst,10-20
Exhibitor,5-10
OTT Acquisition Head,10-20
Exhibitor,10-20
Marketing/PR,5-10
Music Label Exec,5-10
Marketing/PR,<5
OTT Acquisition Head,10-20
Director,5-10
