age,gender,location,income,education,pre_theatre,post_theatre,pre_ott_subs,post_ott_subs,pre_spend,post_spend,pre_ott_hrs,post_ott_hrs
35-44,Male,Other Tier-2/3,50k-1L,Professional,1.0,2.0,2,5,427.0,496.0,10.5,19.9
25-34,Female,Coimbatore,50k-1L,School,5.0,3.0,1,1,720.0,522.0,3.0,12.5
45-54,Female,Other Tier-2/3,1-2L,PG,1.0,0.0,3,4,1119.0,1635.0,6.4,9.4
35-44,Male,Tiruchirappalli,50k-1L,PG,3.0,0.0,0,2,1075.0,1823.0,10.0,16.6
18-24,Other,Chennai,<25k,UG,2.0,0.0,2,2,721.0,865.0,0.0,3.1
55+,Female,Chennai,<25k,UG,3.0,0.0,1,2,749.0,486.0,6.2,11.4
35-44,Male,Tirunelveli,50k-1L,Professional,2.0,1.0,3,3,842.0,1122.0,4.6,11.4
35-44,Female,Chennai,25-50k,UG,3.0,2.0,0,2,268.0,256.0,5.9,0.8
18-24,Male,Madurai,25-50k,UG,3.0,1.0,1,3,800.0,811.0,4.3,17.8
25-34,Other,Rural,25-50k,UG,2.0,0.0,2,3,414.0,553.0,7.0,14.6
25-34,Female,Chennai,50k-1L,UG,4.0,1.0,0,1,709.0,882.0,14.3,18.2
45-54,Female,Chennai,1-2L,PG,3.0,0.0,0,0,556.0,588.0,5.1,17.1
35-44,Male,Rural,50k-1L,PG,3.0,2.0,1,1,760.0,773.0,7.6,12.3
45-54,Female,Tiruchirappalli,25-50k,UG,2.0,1.0,0,2,653.0,791.0,14.6,20.8
25-34,Male,Chennai,25-50k,PG,4.0,2.0,1,3,50.0,54.0,4.1,8.3
18-24,Male,Other Tier-2/3,25-50k,UG,3.0,3.0,1,2,670.0,605.0,13.8,24.9
25-34,Male,Other Tier-2/3,25-50k,School,3.0,2.0,1,2,800.0,877.0,6.4,11.9
18-24,Female,Tiruchirappalli,50k-1L,UG,3.0,2.0,3,3,745.0,942.0,13.7,20.0
45-54,Male,Salem,50k-1L,Doctoral,6.0,3.0,2,4,591.0,671.0,9.5,19.2
35-44,Female,Coimbatore,<25k,School,1.0,0.0,1,2,1080.0,893.0,7.7,15.4
35-44,Female,Chennai,<25k,UG,4.0,5.0,0,3,707.0,1009.0,6.1,11.7
25-34,Male,Tiruchirappalli,<25k,UG,0.0,0.0,1,2,743.0,368.0,3.8,13.2
55+,Male,Coimbatore,1-2L,PG,3.0,2.0,1,1,912.0,974.0,6.7,20.6
45-54,Male,Salem,50k-1L,School,6.0,4.0,1,2,722.0,740.0,10.1,16.9
35-44,Female,Other Tier-2/3,<25k,UG,4.0,2.0,1,3,369.0,449.0,6.3,12.5
18-24,Female,Chennai,1-2L,PG,3.0,2.0,0,0,50.0,66.0,5.1,11.4
25-34,Male,Tiruchirappalli,25-50k,UG,2.0,0.0,0,3,486.0,710.0,5.4,15.4
18-24,Female,Chennai,25-50k,UG,3.0,3.0,0,0,833.0,835.0,10.5,14.4
18-24,Male,Other Tier-2/3,1-2L,UG,3.0,2.0,0,1,521.0,691.0,11.4,16.3
35-44,Female,Chennai,<25k,UG,2.0,0.0,0,2,844.0,1037.0,3.7,4.6
35-44,Female,Salem,<25k,UG,3.0,2.0,1,2,662.0,498.0,3.7,5.7
55+,Female,Tiruchirappalli,50k-1L,PG,3.0,3.0,0,0,981.0,1624.0,8.0,12.1
25-34,Female,Coimbatore,<25k,PG,2.0,0.0,0,2,537.0,441.0,12.7,18.3
25-34,Female,Tirunelveli,50k-1L,PG,2.0,0.0,0,2,751.0,965.0,11.1,22.6
25-34,Male,Tirunelveli,<25k,Doctoral,1.0,0.0,1,1,762.0,973.0,1.3,8.8
18-24,Male,Tiruchirappalli,<25k,UG,4.0,4.0,1,3,1040.0,1299.0,5.3,8.2
18-24,Male,Other Tier-2/3,<25k,UG,4.0,2.0,0,8,142.0,150.0,2.6,6.1
25-34,Male,Rural,25-50k,Professional,3.0,3.0,1,4,492.0,682.0,5.3,15.5
18-24,Female,Madurai,<25k,UG,5.0,3.0,0,5,858.0,678.0,13.0,22.4
35-44,Female,Tiruchirappalli,<25k,PG,3.0,2.0,0,5,1053.0,1225.0,0.6,6.5
25-34,Female,Chennai,1-2L,PG,4.0,4.0,4,4,687.0,714.0,0.0,4.4
45-54,Male,Other Tier-2/3,25-50k,School,4.0,3.0,1,3,538.0,544.0,3.0,12.4
35-44,Female,Tiruchirappalli,25-50k,UG,3.0,2.0,1,3,832.0,1071.0,7.6,10.2
25-34,Male,Madurai,<25k,UG,2.0,1.0,2,3,863.0,1251.0,8.9,16.0
45-54,Male,Chennai,25-50k,UG,7.0,5.0,2,3,519.0,568.0,8.2,21.3
35-44,Female,Other Tier-2/3,25-50k,UG,2.0,1.0,1,2,712.0,979.0,11.2,17.7
25-34,Female,Coimbatore,50k-1L,UG,2.0,0.0,3,5,951.0,1134.0,0.0,3.3
25-34,Female,Tirunelveli,<25k,PG,4.0,2.0,2,2,1149.0,1099.0,11.3,18.4
35-44,Male,Chennai,1-2L,PG,4.0,3.0,0,2,828.0,924.0,5.1,9.4
18-24,Female,Rural,1-2L,PG,1.0,0.0,0,1,632.0,698.0,9.4,10.7
18-24,Male,Chennai,<25k,UG,5.0,5.0,1,2,605.0,609.0,1.0,9.0
18-24,Female,Chennai,<25k,UG,3.0,1.0,2,3,776.0,999.0,6.4,15.8
35-44,Female,Other Tier-2/3,<25k,UG,1.0,0.0,0,2,588.0,728.0,7.4,12.2
35-44,Male,Rural,50k-1L,School,5.0,6.0,1,2,673.0,527.0,11.1,15.7
35-44,Male,Chennai,<25k,Professional,4.0,3.0,2,4,324.0,249.0,0.0,2.7
35-44,Male,Madurai,1-2L,UG,1.0,0.0,1,7,983.0,1264.0,6.5,11.8
25-34,Female,Other Tier-2/3,50k-1L,UG,6.0,3.0,1,3,301.0,294.0,2.0,6.0
25-34,Male,Other Tier-2/3,1-2L,PG,4.0,4.0,2,4,499.0,626.0,8.5,11.1
18-24,Female,Coimbatore,25-50k,UG,3.0,3.0,1,3,647.0,890.0,9.6,21.5
18-24,Female,Tiruchirappalli,>2L,School,6.0,3.0,0,3,1177.0,1015.0,11.7,19.0
35-44,Female,Other Tier-2/3,<25k,School,3.0,0.0,0,2,502.0,415.0,4.2,11.8
25-34,Male,Other Tier-2/3,25-50k,UG,3.0,2.0,0,1,434.0,694.0,10.2,18.8
25-34,Female,Other Tier-2/3,25-50k,PG,2.0,1.0,1,1,466.0,591.0,12.0,20.3
35-44,Male,Tiruchirappalli,>2L,UG,4.0,2.0,1,5,1084.0,1166.0,0.0,4.5
35-44,Female,Chennai,50k-1L,Professional,4.0,5.0,0,1,50.0,50.0,8.9,15.6
